"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2023,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Atur Registrat",837
2023,1,10,"Sant Martí",65,"el Clot","Dones","Atur Registrat",607
2023,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Atur Registrat",302
2023,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Atur Registrat",186
2023,1,10,"Sant Martí",68,"el Poblenou","Dones","Atur Registrat",647
2023,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Atur Registrat",325
2023,1,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Atur Registrat",746
2023,1,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Atur Registrat",494
2023,1,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Atur Registrat",681
2023,1,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Atur Registrat",770
2023,1,99,"No consta",99,"No consta","Dones","Atur Registrat",28
2023,1,1,"Ciutat Vella",1,"el Raval","Dones","Demanda No Aturats",446
2023,1,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Demanda No Aturats",128
2023,1,1,"Ciutat Vella",3,"la Barceloneta","Dones","Demanda No Aturats",137
2023,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Demanda No Aturats",193
2023,1,2,"Eixample",5,"el Fort Pienc","Dones","Demanda No Aturats",184
2023,1,2,"Eixample",6,"la Sagrada Família","Dones","Demanda No Aturats",320
2023,1,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Demanda No Aturats",217
2023,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Demanda No Aturats",214
2023,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Demanda No Aturats",349
2023,1,2,"Eixample",10,"Sant Antoni","Dones","Demanda No Aturats",249
2023,1,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Demanda No Aturats",314
2023,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Demanda No Aturats",16
2023,1,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Demanda No Aturats",303
2023,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Demanda No Aturats",81
2023,1,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Demanda No Aturats",123
2023,1,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Demanda No Aturats",144
2023,1,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Demanda No Aturats",170
2023,1,3,"Sants-Montjuïc",18,"Sants","Dones","Demanda No Aturats",305
2023,1,4,"Les Corts",19,"les Corts","Dones","Demanda No Aturats",299
2023,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Demanda No Aturats",168
2023,1,4,"Les Corts",21,"Pedralbes","Dones","Demanda No Aturats",34
2023,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Demanda No Aturats",11
2023,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Demanda No Aturats",68
2023,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Demanda No Aturats",43
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Demanda No Aturats",93
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Demanda No Aturats",138
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Demanda No Aturats",164
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Demanda No Aturats",118
2023,1,6,"Gràcia",29,"el Coll","Dones","Demanda No Aturats",51
2023,1,6,"Gràcia",30,"la Salut","Dones","Demanda No Aturats",95
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Dones","Demanda No Aturats",328
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Demanda No Aturats",224
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Demanda No Aturats",174
2023,1,7,"Horta-Guinardó",34,"Can Baró","Dones","Demanda No Aturats",67
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Dones","Demanda No Aturats",249
2023,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Demanda No Aturats",75
2023,1,7,"Horta-Guinardó",37,"el Carmel","Dones","Demanda No Aturats",256
2023,1,7,"Horta-Guinardó",38,"la Teixonera","Dones","Demanda No Aturats",83
2023,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Demanda No Aturats",51
2023,1,7,"Horta-Guinardó",40,"Montbau","Dones","Demanda No Aturats",37
2023,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Demanda No Aturats",39
2023,1,7,"Horta-Guinardó",42,"la Clota","Dones","Demanda No Aturats",3
2023,1,7,"Horta-Guinardó",43,"Horta","Dones","Demanda No Aturats",231
2023,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Demanda No Aturats",225
2023,1,8,"Nou Barris",45,"Porta","Dones","Demanda No Aturats",219
2023,1,8,"Nou Barris",46,"el Turó de la Peira","Dones","Demanda No Aturats",140
2023,1,8,"Nou Barris",47,"Can Peguera","Dones","Demanda No Aturats",19
2023,1,8,"Nou Barris",48,"la Guineueta","Dones","Demanda No Aturats",153
2023,1,8,"Nou Barris",49,"Canyelles","Dones","Demanda No Aturats",75
2023,1,8,"Nou Barris",50,"les Roquetes","Dones","Demanda No Aturats",162
2023,1,8,"Nou Barris",51,"Verdun","Dones","Demanda No Aturats",124
2023,1,8,"Nou Barris",52,"la Prosperitat","Dones","Demanda No Aturats",246
2023,1,8,"Nou Barris",53,"la Trinitat Nova","Dones","Demanda No Aturats",92
2023,1,8,"Nou Barris",54,"Torre Baró","Dones","Demanda No Aturats",25
2023,1,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Demanda No Aturats",130
2023,1,8,"Nou Barris",56,"Vallbona","Dones","Demanda No Aturats",15
2023,1,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Demanda No Aturats",120
2023,1,9,"Sant Andreu",58,"Baró de Viver","Dones","Demanda No Aturats",20
2023,1,9,"Sant Andreu",59,"el Bon Pastor","Dones","Demanda No Aturats",116
2023,1,9,"Sant Andreu",60,"Sant Andreu","Dones","Demanda No Aturats",468
2023,1,9,"Sant Andreu",61,"la Sagrera","Dones","Demanda No Aturats",221
2023,1,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Demanda No Aturats",108
2023,1,9,"Sant Andreu",63,"Navas","Dones","Demanda No Aturats",164
2023,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Demanda No Aturats",289
2023,1,10,"Sant Martí",65,"el Clot","Dones","Demanda No Aturats",196
2023,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Demanda No Aturats",91
2023,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Demanda No Aturats",54
2023,1,10,"Sant Martí",68,"el Poblenou","Dones","Demanda No Aturats",189
2023,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Demanda No Aturats",84
2023,1,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Demanda No Aturats",195
2023,1,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Demanda No Aturats",150
2023,1,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Demanda No Aturats",217
2023,1,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Demanda No Aturats",246
2023,1,99,"No consta",99,"No consta","Dones","Demanda No Aturats",7
2023,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur Registrat",1540
2023,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur Registrat",447
2023,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur Registrat",399
2023,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur Registrat",551
2023,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur Registrat",505
2023,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur Registrat",767
2023,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur Registrat",539
2023,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur Registrat",549
2023,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur Registrat",808
2023,1,2,"Eixample",10,"Sant Antoni","Homes","Atur Registrat",627
2023,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur Registrat",888
2023,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur Registrat",52
2023,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur Registrat",670
2023,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur Registrat",224
2023,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur Registrat",272
2023,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur Registrat",319
2023,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur Registrat",338
2023,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur Registrat",644
2023,1,4,"Les Corts",19,"les Corts","Homes","Atur Registrat",636
2023,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur Registrat",334
2023,1,4,"Les Corts",21,"Pedralbes","Homes","Atur Registrat",79
2023,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur Registrat",42
2023,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur Registrat",188
2023,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur Registrat",162
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur Registrat",243
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur Registrat",418
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur Registrat",378
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur Registrat",251
2023,1,6,"Gràcia",29,"el Coll","Homes","Atur Registrat",104
2023,1,6,"Gràcia",30,"la Salut","Homes","Atur Registrat",207
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur Registrat",761
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur Registrat",492
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur Registrat",375
2023,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur Registrat",148
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur Registrat",638
2023,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur Registrat",185
2023,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur Registrat",632
2023,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur Registrat",213
2023,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur Registrat",133
2023,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur Registrat",96
2023,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur Registrat",102
2023,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur Registrat",7
2023,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur Registrat",534
2023,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur Registrat",489
2023,1,8,"Nou Barris",45,"Porta","Homes","Atur Registrat",463
2023,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur Registrat",310
2023,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur Registrat",43
2023,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur Registrat",341
2023,1,8,"Nou Barris",49,"Canyelles","Homes","Atur Registrat",166
2023,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur Registrat",361
2023,1,8,"Nou Barris",51,"Verdun","Homes","Atur Registrat",277
2023,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur Registrat",520
2023,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur Registrat",244
2023,1,8,"Nou Barris",54,"Torre Baró","Homes","Atur Registrat",68
2023,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Atur Registrat",352
2023,1,8,"Nou Barris",56,"Vallbona","Homes","Atur Registrat",41
2023,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Atur Registrat",327
2023,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Atur Registrat",43
2023,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Atur Registrat",243
2023,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Atur Registrat",982
2023,1,9,"Sant Andreu",61,"la Sagrera","Homes","Atur Registrat",467
